reviews	canonical_rebuttals
I do not think this work is ready for publication.' [SEP] 'rebuttal_structuring	Q1: “There are a few grammatical/spelling errors that need ironing out.”
Based on the summary, cons, and pros, the current rating I am giving now is weak reject. I would like to discuss the final rating with other reviewers, ACs.' [SEP] 'rebuttal_structuring	Q1: “There are a few grammatical/spelling errors that need ironing out.”
The theoretical contribution is very limited.' [SEP] 'rebuttal_mitigate-criticism	We followed their guidelines and included the results to provide convincing evidence that, in this extreme scenario, our model can perform better (even without the use of rationales).
The combination of ideas is ok, however, it is unclear how novel or how good is the proposed MF training of the RBMs.' [SEP] 'rebuttal_mitigate-criticism	We followed their guidelines and included the results to provide convincing evidence that, in this extreme scenario, our model can perform better (even without the use of rationales).
The main issue of this paper is the fair comparisons with other works.' [SEP] 'rebuttal_reject-criticism	Therefore, a comparison with [1, 2, 3, 4] is not straightforward as our goal is different.
1) Although the ensemble idea is new, the idea of selective self-training is not novel in self-training or co-training of SSL as in the following survey.' [SEP] 'rebuttal_reject-criticism	Therefore, a comparison with [1, 2, 3, 4] is not straightforward as our goal is different.
Thus we may only apply the proposed model on a few tasks with exactly known F.' [SEP] 'rebuttal_by-cr	We will publish the code to compute conductance after the blind-review phase.
- (W6) Motivation for CFS: I still don't fully understand the need to understand the density of the representation (especially in the manner proposed in the paper). Why is this an important problem? Perhaps expanding on this would be helpful' [SEP] 'rebuttal_by-cr	We will publish the code to compute conductance after the blind-review phase.
3. [Presentation.] The presentation is undesirable. It may make the readers hard to follow the paper.' [SEP] 'rebuttal_answer	Q2: The main contribution is listed as follows:
This issues makes reviewing this paper very difficult.' [SEP] 'rebuttal_answer	Q2: The main contribution is listed as follows:
3. The architecture of the neural networks used for the Generator and Discriminator is very non-standard, which' [SEP] 'rebuttal_other	This comment was also made in the official blind review #2.
"Furthermore PTB is not a ""challenging"" LM benchmark.' [SEP] 'rebuttal_other"	This comment was also made in the official blind review #2.
The paper misses the key baseline in Bayesian optimisation using tree structure [1] which can perform the prediction under the tree-structure dependencies.' [SEP] 'rebuttal_concede-criticism	We missed this previous work.
This is a thriving area that requires a careful literature review.' [SEP] 'rebuttal_concede-criticism	We missed this previous work.
One drawback is that it is highly specific to language models.' [SEP] 'rebuttal_reject-criticism	All of these insights are supported by a fair and unbiased rigorous experimental process.
As pointed out in the weakness section, many design choices are not well motivated, and the effects of those designs are not well studied.' [SEP] 'rebuttal_reject-criticism	All of these insights are supported by a fair and unbiased rigorous experimental process.
Due to the different objects used in the different datasets, some of the experiments have a smaller set of words.' [SEP] 'rebuttal_done	First, we agree that assumption (H2) is restrictive and have added some insights/results relaxing it in Section 3.4 in the latest version of the paper.
- Some of the datasets the authors currently test on are quite toy, especially for the image-based MNIST and SVHN datasets.' [SEP] 'rebuttal_done	First, we agree that assumption (H2) is restrictive and have added some insights/results relaxing it in Section 3.4 in the latest version of the paper.
Second, and more importantly, the experiments need to be re-done to better measure the practical impact of the techniques.' [SEP] 'rebuttal_future	However, as the main goal of this paper is to introduce and analyze the model, we defer more application-focused analysis to future work.
The MNIST is a relatively simple experiment, and I would like to see how the method works in more challenging problems.' [SEP] 'rebuttal_future	However, as the main goal of this paper is to introduce and analyze the model, we defer more application-focused analysis to future work.
I do not see these experimental settings mentioned anywhere in the paper, and this is very concerning.' [SEP] 'rebuttal_structuring	Please refer to Table 3 and Appendix C.4 for updated comparison results.
These synthetic setting can be used for sanity check, but cannot be the main part of the experiments.' [SEP] 'rebuttal_structuring	Please refer to Table 3 and Appendix C.4 for updated comparison results.
However, the method they propose offers very little that is new when compared to e.g. Vaswani (https://arxiv.org/pdf/1706.03762.pdf, section 3.5) (the authors acknowledge this work several times).' [SEP] 'rebuttal_by-cr	We will definitely cite them in the paper and include a discussion in related work on how our scheme compares to that proposed in the two papers.
Unlike Arora's original work, the assumptions they make on their subject material are not supported enough, as in their lack of explanation of why linear addition of two word embeddings should be a bad idea for composition of the embedding vectors of two syntactically related words, and why the corrective term produced by their method makes this a good idea.' [SEP] 'rebuttal_by-cr	We will definitely cite them in the paper and include a discussion in related work on how our scheme compares to that proposed in the two papers.
- The premises of the analyses are not very convincing, limiting the significance of the paper.' [SEP] 'rebuttal_answer	Your interpretation of section 3 is exactly right.
While this assumption seems plausible,  no analysis has been done to verify it in a systematic way.' [SEP] 'rebuttal_answer	Your interpretation of section 3 is exactly right.
However, I think since this is few-shot learning with domain adaptation, there is no domain adaptation baselines being mentioned in comparison.' [SEP] 'rebuttal_by-cr	Having said that, we see how these areas might seem related, and we will revise the related work section to better emphasize the aforementioned differences.
Why not compare results to WGAN-GP in this case? Since the proposal of GANs, many papers addressed the mode collapse problem.' [SEP] 'rebuttal_by-cr	Having said that, we see how these areas might seem related, and we will revise the related work section to better emphasize the aforementioned differences.
While better than most of the baseline methods, the N^2 memory/computational complexity is not bad, but still too high to scale to very large graphs.' [SEP] 'rebuttal_future	Unfortunately we did not find enough time to implement and test this algorithm during the rebuttal stage, but we now mention this possibility as an interesting avenue for future work.
Therefore, I don’t find interesting to report how DDGC improve upon “no baseline”, because known methods do even better.' [SEP] 'rebuttal_future	Unfortunately we did not find enough time to implement and test this algorithm during the rebuttal stage, but we now mention this possibility as an interesting avenue for future work.
-I find the experimental studies a bit limited and I would expect larger studies which would have improve the interest of the paper.' [SEP] 'rebuttal_done	"Please refer to our updated ""Experiments"" section."
I also remain unconvinced by the response to my issue with the claim “Our experiments show that our networks can remember a large number of images and distinguish them from unseen images”, where the negative images are also seen by the memorization model, so they are not unseen.' [SEP] 'rebuttal_done	"Please refer to our updated ""Experiments"" section."
- (W6) Motivation for CFS: I still don't fully understand the need to understand the density of the representation (especially in the manner proposed in the paper). Why is this an important problem? Perhaps expanding on this would be helpful' [SEP] 'rebuttal_structuring	[Q] Limited amount of new insight.
- limited amount of new insight, which is limiting as new and better understanding of GANs and practical guidelines are arguably the main contribution of a work of this type' [SEP] 'rebuttal_structuring	[Q] Limited amount of new insight.
However, the explanation of the strategy wasn’t very clear for me, and the authors didn’t frame it as a major contribution.' [SEP] 'rebuttal_by-cr	In the next version of the manuscript (both in response to your review and that of referee 1) we will add a more intuitive discussion of these results which we agree are somewhat technical.
- The network architecture is never described, especially the transition from Conv to Dense and the layer sizes, making the work hard to reproduce.' [SEP] 'rebuttal_by-cr	In the next version of the manuscript (both in response to your review and that of referee 1) we will add a more intuitive discussion of these results which we agree are somewhat technical.
PS: After discussion, I think the motivation of the method is not clear to understand why the proposed method works.' [SEP] 'rebuttal_refute-question	*Please also see reply to reviewer #2 on a similar question of evaluating against other methods*
- Sec 3.3 the argmin is a set, then it is LMO $\in$ argmin.' [SEP] 'rebuttal_refute-question	*Please also see reply to reviewer #2 on a similar question of evaluating against other methods*
However, the results are a bit misleading in their reporting of the std error.' [SEP] 'rebuttal_structuring	Q: It is hard to say whether the results are applicable in practice; need updates to baselines and comparison with learning rate schedules.
But the paper only provides empirical results on sentimental analysis and digit recognition.' [SEP] 'rebuttal_structuring	Q: It is hard to say whether the results are applicable in practice; need updates to baselines and comparison with learning rate schedules.
As a minor note, were different feature extractors compared?' [SEP] 'rebuttal_by-cr	We have also updated the paper to highlight that our proposed proxy is to be understood as an initial, simple, working instance, with a lot of remaining future work that could extend and refine it.
The KL divergence regularization introduces extra randomness to the auxiliary labels and thus mitigates the problem, but it hardly provides any useful information except randomness.' [SEP] 'rebuttal_by-cr	We have also updated the paper to highlight that our proposed proxy is to be understood as an initial, simple, working instance, with a lot of remaining future work that could extend and refine it.
Third, it is rather surprising that the authors didn't mention anything about the traditional causal discovery methods based on conditional independence relations in the data, known as constraint-based methods, such as the PC algorithm (Spirtes et al., 1993), IC algorithm (Pearl, 2000), and FCI (Spirtes et al., 1993).' [SEP] 'rebuttal_concede-criticism	We agree much detail on embeddings can be condensed or moved to Appendix.
Similarly, I'd have expected baselines that included those models in the evaluation section showing the differences in performance between the newly proposed Transformer model for trees and previously used methods.' [SEP] 'rebuttal_concede-criticism	We agree much detail on embeddings can be condensed or moved to Appendix.
2. during sampling, either training or testing, how do authors handle temporal overlap or make it overlap?' [SEP] 'rebuttal_structuring	It would be nice if the authors pointed to a git repository with their code an experiments.
Without an empirical example in a realistic setting, it is hard to judge whether the benefits of introducing an ME bias for better classification of new inputs belonging to new classes can outweigh the negatives via a potential increase in misclassification of those belonging to old classes.' [SEP] 'rebuttal_structuring	It would be nice if the authors pointed to a git repository with their code an experiments.
It is also not clear to me why these problems are important.' [SEP] 'rebuttal_reject-criticism	We are of course willing to further specify any details that the referee misses in the current paper. We would therefore like to kindly invite the referee to be specific about the details that he/she would like to be added to the manuscript.
2. The paper never clearly demonstrates the problem they are trying to solve (nor well differentiates it from the compressed sensing problem  or sample selection problem)' [SEP] 'rebuttal_reject-criticism	We are of course willing to further specify any details that the referee misses in the current paper. We would therefore like to kindly invite the referee to be specific about the details that he/she would like to be added to the manuscript.
* The differences between UNIT (GAN; C-po) and UNIT (MMD; C-po) in Table 1 seem very small and I'm not convinced that they are significant. Why does the MMD version constitute an improvement? Or is it simply more stable to train?' [SEP] 'rebuttal_answer	We discuss this point at the bottom of page 4 after equation 6 and will further clarify.
The samples from MNIST in Figure 3 are indeed very blurry, supporting this.' [SEP] 'rebuttal_answer	We discuss this point at the bottom of page 4 after equation 6 and will further clarify.
2. How is the performance of a simpler baseline such as combining a subset of new domain as training set to train MAML or PN (probably in 5-shot, 5-class case)?' [SEP] 'rebuttal_structuring	Missing experiments to validate nature of bounds.
"4. Missing experiments to validate nature of bounds: Bartlett et al. [3] performed extensive experiments to exhibit the correct scaling of the generalization bounds with the ""model complexity"" introduced upto numerical constants.' [SEP] 'rebuttal_structuring"	Missing experiments to validate nature of bounds.
As a final point; the hyper parameters that were tuned for the MNF, noisy K-FAC and KFLA baselines are not on common ground.' [SEP] 'rebuttal_done	We revised the notations in the paper to make formulation clearer.
Third, it is rather surprising that the authors didn't mention anything about the traditional causal discovery methods based on conditional independence relations in the data, known as constraint-based methods, such as the PC algorithm (Spirtes et al., 1993), IC algorithm (Pearl, 2000), and FCI (Spirtes et al., 1993).' [SEP] 'rebuttal_done	We revised the notations in the paper to make formulation clearer.
1 The implementation steps of the proposed method (MoVE) are not clear.' [SEP] 'rebuttal_done	As suggested, we have utilized the appendices to give detailed information about the experimental setup.
The reasons for the use of the energy-based formulation are not clear to me.' [SEP] 'rebuttal_done	As suggested, we have utilized the appendices to give detailed information about the experimental setup.
* first paragraph page 2: some references to causality literature and definition of spuriousness as common cause' [SEP] 'rebuttal_answer	It would be difficult fit a detailed convergence analysis in our paper given the limited space provided.
little improvements over the baselines or even significantly worse. More importantly,' [SEP] 'rebuttal_answer	It would be difficult fit a detailed convergence analysis in our paper given the limited space provided.
It is not clear how the compression ratio in table 1 is obtained.' [SEP] 'rebuttal_done	We have modified parts of our paper to reflect these arguments better.
* minor: in figure 8 in the appendix, the results after 100 iterations is, as far as I understand, over a single replication, so is not particularly reliable (and will always be 100% of a single optimizer)' [SEP] 'rebuttal_done	We have modified parts of our paper to reflect these arguments better.
- for the experiment with Imagenet images, it is not very clear how many pictures are used. Is this number 2500?' [SEP] 'rebuttal_by-cr	We’ll include more details about hyperparameters and hyperparameter selection in any future revision.
However it's not clear how is this range used in practice ? Do you sample uniformly $\alpha$ in this range to train the linear interpolation ?' [SEP] 'rebuttal_by-cr	We’ll include more details about hyperparameters and hyperparameter selection in any future revision.
If this is a method for image recognition, it would be better to present results for a more substantial image recognition problem than MNIST and CIFAR-10.' [SEP] 'rebuttal_contradict-assertion	Please check the degraded images in Table 3.
I cannot understand from that part whether T(v_a, v_b,.) addition to v_a+v_b gives any improvement or not.' [SEP] 'rebuttal_contradict-assertion	Please check the degraded images in Table 3.
The clarity of this paper needs to be strengthened.' [SEP] 'rebuttal_reject-criticism	We invite the referee to be specific about the sections of the original manuscript that need more clarification, allowing us to revise these sections.
I think the paper could benefit from having this in the earlier sections.' [SEP] 'rebuttal_reject-criticism	We invite the referee to be specific about the sections of the original manuscript that need more clarification, allowing us to revise these sections.
Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.' [SEP] 'rebuttal_answer	We based our title on that paper since it extends some of its results to nonlinear neural networks.
While the authors do report some interesting results, they do a poor job of motivating the proposed extensions.' [SEP] 'rebuttal_answer	We based our title on that paper since it extends some of its results to nonlinear neural networks.
"-4 Talking about ""agents"" and ""Multi-Agent"" is a somewhat confusing given the slightly different use of the same term in the reinforcement literature. Why not just ""mapping"" or ""network""?' [SEP] 'rebuttal_done"	In the latest revision, we have 5 baselines from previous research and modern variants, which further showcases the significance of our work.
It is not well explained in the paper how this proxy correlates with the Learning progress criteria.' [SEP] 'rebuttal_done	In the latest revision, we have 5 baselines from previous research and modern variants, which further showcases the significance of our work.
A quick glance at Table 1 suggests that the bounds obtained through Theorem 3 are exponential in t and are mostly vacuous.' [SEP] 'rebuttal_done	-Thanks! This was indeed an error, which we’ve corrected in the updated draft.
- Why are there missing BLEU scores and the number of parameters in Table 1?' [SEP] 'rebuttal_done	-Thanks! This was indeed an error, which we’ve corrected in the updated draft.
Cons: While doing this leads to better convergence, each update is still very expensive compared to standard SGD, and for instance on vision tasks the algorithm needs to run for almost double the time to get similar accuracies as an SGD, adam solver.' [SEP] 'rebuttal_structuring	Q4: the implementation details section is a bit too high-level and does not contain enough details to reimplement the Author's technique.
"As previously mentioned in public comments on this forum, some points in the paper are not very clear; specifically regarding the loss function, the definition of ""edge-to-edge"" convolutions and generally the architectural choice related to the conditional GAN discriminator.' [SEP] 'rebuttal_structuring"	Q4: the implementation details section is a bit too high-level and does not contain enough details to reimplement the Author's technique.
The difference with the other reference model (SVG) is less clear.' [SEP] 'rebuttal_done	We renamed all the models based on the original papers and their properties.
I agree that local SO(2) invariance is too limiting. But it is not true that rotating filters is not effective in planar/volumetric CNNs, as shown by many recent papers on equivariant networks.' [SEP] 'rebuttal_done	We renamed all the models based on the original papers and their properties.
It is difficult to know what the theory says about the empirical results, given the tweaks discussed in Sec 2.2, and so it is difficult to know what is the benefit of the method versus the tweaks.' [SEP] 'rebuttal_concede-criticism	We focus on simpler domains to provide proof-of-concept results as the first step on this direction.
My assumption is the visual feature already contains the label information for image captioning.' [SEP] 'rebuttal_concede-criticism	We focus on simpler domains to provide proof-of-concept results as the first step on this direction.
- Lack of a strong explanation for the results or a solution to the problem' [SEP] 'rebuttal_done	>> We discussed the results of the experiments in pages 7-8. We will revise to make this discussion easier to find.
"* Some turns of phrase like ""recently gained a flourishing interest"", ""there is still a wide gap in quality of results"", ""which implies a variety of underlying factors"", ... are vague / do not make much sense and should probably be reformulated to enhance readability.' [SEP] 'rebuttal_done"	>> We discussed the results of the experiments in pages 7-8. We will revise to make this discussion easier to find.
Indeed, without referencing the original Pointer Network and (and especially the) Transformer papers, it would not be possible to understand this paper at all.' [SEP] 'rebuttal_done	1. We fully understand your concern and we have added detailed description in the supplemental materials to show the hyperparameters we use for baseline methods in the revision.
"For example, there are two ""the"" in the end of the third paragraph in Related Work.' [SEP] 'rebuttal_done"	1. We fully understand your concern and we have added detailed description in the supplemental materials to show the hyperparameters we use for baseline methods in the revision.
6. Validation data / test sets: Throughout this work, it is unclear what / how validation is performed.' [SEP] 'rebuttal_mitigate-criticism	So the measurement we proposed is a best-effort attempt that can hopefully give us some insights into this problem.
In particular, it is unclear what the assumption on the size of the unlabelled test set is.' [SEP] 'rebuttal_mitigate-criticism	So the measurement we proposed is a best-effort attempt that can hopefully give us some insights into this problem.
What instead is missing is an answer to the question: Is it worth using a neural graph? what are the advantages and disadvantages compared to previous approaches?' [SEP] 'rebuttal_summary	In the supplement we have included an analysis of the sensitivity of this algorithm to the threshold to discard training points.
As a final point; the hyper parameters that were tuned for the MNF, noisy K-FAC and KFLA baselines are not on common ground.' [SEP] 'rebuttal_summary	In the supplement we have included an analysis of the sensitivity of this algorithm to the threshold to discard training points.
- Some of the datasets the authors currently test on are quite toy, especially for the image-based MNIST and SVHN datasets.' [SEP] 'rebuttal_future	We agree - particularly for applications regarding the interpretability of deep representations as well as the manipulation of biases contained therein.
Q1: Has the authors tried more complicated datasets such as CIFAR-10 to evaluate the pGAN method? It would make the paper more convincing to add results on more complex datasets.' [SEP] 'rebuttal_future	We agree - particularly for applications regarding the interpretability of deep representations as well as the manipulation of biases contained therein.
-- The machine learned advice is assumed to be flawless at identifying the Heavy Hitters, authors might want to consider incorporating errors in the analysis.' [SEP] 'rebuttal_by-cr	Having said this, if by practice you meant that the neural network is accurately described by our theory during training then we do not expect this to be true. We are happy to emphasize this in the camera ready.
I would have liked to see a bit more analysis as to why some pre-training strategies work over others.' [SEP] 'rebuttal_by-cr	Having said this, if by practice you meant that the neural network is accurately described by our theory during training then we do not expect this to be true. We are happy to emphasize this in the camera ready.
-- Since CounMin is closely related to Bloom filters the idea of using machine learning to speed it up appears to be noticeably less novel given that for Bloom filters this has already been done by Mitzenmacher’18.' [SEP] 'rebuttal_concede-criticism	We agree that some of the observations in sections 2 and 3 have already been made in previous work, however there are also several important differences:
For example, Narayanaswamy et al. [1] also propose to utilize labels to VAE.' [SEP] 'rebuttal_concede-criticism	We agree that some of the observations in sections 2 and 3 have already been made in previous work, however there are also several important differences:
Regarding the experiments on adversarial examples, I am not convinced of their relevance at all.' [SEP] 'rebuttal_done	We have addressed your concern about the baseline models and learning rate schedules in our updated paper.
* The experiments do not demonstrate that the model learns a meaningful *conditional* distribution for the missing modalities, since the provided figures show just one sample per conditioning image.' [SEP] 'rebuttal_done	We have addressed your concern about the baseline models and learning rate schedules in our updated paper.
The experiments were only done on simple image datasets.' [SEP] 'rebuttal_answer	In responding to this comment and the comment of Reviewer #1, we perform one more experiment on CelebA to demonstrate that DSGAN can work well even for complicated images.
In the real world, one would not have access to OOD data during training, how is one to pick \lambda in such cases?' [SEP] 'rebuttal_answer	In responding to this comment and the comment of Reviewer #1, we perform one more experiment on CelebA to demonstrate that DSGAN can work well even for complicated images.
- Figures 1-4 are difficult to interpreted on a printed version.' [SEP] 'rebuttal_by-cr	We have fixed the other issues you raised in your other minor comments. If you have any further comments, please let us know.
4. Fig. 3 (right): It is not clear' [SEP] 'rebuttal_by-cr	We have fixed the other issues you raised in your other minor comments. If you have any further comments, please let us know.
Though, I still think the contribution is incremental, since back-propagating gradients through values and dynamics has been studied in prior works (albeit with less empirical successes compared to Dreamer).' [SEP] 'rebuttal_reject-criticism	We emphasize that our theoretical analysis leads to significant more concise convergence bounds than those in the above papers.
The proposed method PowerSGD is an extension of the method in Yuan et al. (extended to handle stochastic gradient and momentum).' [SEP] 'rebuttal_reject-criticism	We emphasize that our theoretical analysis leads to significant more concise convergence bounds than those in the above papers.
- It would be nice to have an experiment that varies the size of the external paired sentence-image dataset and tested the impact on performance.' [SEP] 'rebuttal_structuring	> The experimental results presented were all done on small synthetic datasets and it’s hard to evaluate whether the method is practically useful.
2. Were there experiments that applies your metric to the training datasets like CelebA and FFHQ? In theory your metric should show no gap between N_R_obs and N_R_ref measured on the training dataset since that's the sampled ground truth.' [SEP] 'rebuttal_structuring	> The experimental results presented were all done on small synthetic datasets and it’s hard to evaluate whether the method is practically useful.
However, this limits the novelty of the results relative to existing literature.' [SEP] 'rebuttal_accept-praise	A1: As for novelty, we first thank you for acknowledging that understanding GANs from the control theory perspective is promising and enjoyable to read.
As the authors admit, the main result is not especially surprising.' [SEP] 'rebuttal_accept-praise	A1: As for novelty, we first thank you for acknowledging that understanding GANs from the control theory perspective is promising and enjoyable to read.
Does the discriminator exclude the poisoning data according to certain rule?' [SEP] 'rebuttal_done	We haved add the above discussion to the latest version as Appendix A.9.
1. What are the key limitations of AutoLoss ? Did we observe some undesirable behavior of the learned optimization schedule, especially when transfer between different datasets or different models ?' [SEP] 'rebuttal_done	We haved add the above discussion to the latest version as Appendix A.9.
However, all experiments only show results in the MCAR setting, so the claim is not experimentally validated.' [SEP] 'rebuttal_answer	Nonetheless, it is relatively easy for us to update the results in the paper with these new hyperparameters.
4. [Experiments.] The author presented a multimodal representation learning framework for partially-observable multimodal data, while the experiments cannot corraborrate the claim.' [SEP] 'rebuttal_answer	Nonetheless, it is relatively easy for us to update the results in the paper with these new hyperparameters.
"The paper also lacks experimental results, and the main conclusion from these results seems to be ""MNIST is not suitable for benchmarking of adversarial attacks"".' [SEP] 'rebuttal_social"	Thank you for pointing out the accuracy of ResNet-20 (similar to Reviewer 1).
The proposed sampling distributions assumes independence between the random variables over which the authors optimize — I find it surprising that this leads to good empirical results' [SEP] 'rebuttal_social	Thank you for pointing out the accuracy of ResNet-20 (similar to Reviewer 1).
With lack of clear novel insights, or at least more systematic study on additional datasets of the 'winning' techniques and a sensitivity analysis, the paper does not give a valuable enough contribution to the field to merit publication.' [SEP] 'rebuttal_reject-criticism	On top of that, our experiments are reproducible (as already reported by other works), we shared the resulting code and the pre-trained models.
If the novelty is in applying to continual learning and new datasets, it is not clear that this is sufficient.' [SEP] 'rebuttal_reject-criticism	On top of that, our experiments are reproducible (as already reported by other works), we shared the resulting code and the pre-trained models.
On the other hand, the authors give no evidence, empirical or otherwise, that their method is useful on any downstream tasks.' [SEP] 'rebuttal_summary	Please note that the data described in Figure 6c has been updated from Figure 7, and our method shows better performance in new data compared to the data shown in the original manuscript.
This is ultimately due to the fact that the set of alt-az rotations is not the same as the set of points on the sphere, topologically speaking.' [SEP] 'rebuttal_summary	Please note that the data described in Figure 6c has been updated from Figure 7, and our method shows better performance in new data compared to the data shown in the original manuscript.
1) I wonder if the proposed method work for most GAN models, more experiments evaluated on more recent GAN-based  models should be added to verify the superiority claimed in this paper, e.g., TP-GAN [Huang et al., ICCV 2017], PIM [Zhao et al., CVPR 2018], DR-GAN [Tran et al., CVPR 2017], DA-GAN [Zhao et al., NIPS 2017], MH-Parser [Li et al., 2017], 3D-PIM [Zhao et al., IJCAI 2018], SimGAN [Shrivastava et al., CVPR 2016], AIM [Zhao et al., AAAI 2019].' [SEP] 'rebuttal_by-cr	Q1: We are evaluating the proposed metrics on more recent GAN-based models you suggested and will update the results once the results become available.
Some details are missing, which is hardly reproduced by the other researchers.' [SEP] 'rebuttal_by-cr	Q1: We are evaluating the proposed metrics on more recent GAN-based models you suggested and will update the results once the results become available.
So at the end, I am a bit puzzled. I really like the idea, but I have the feeling that this technique should have been developed for more complicated setting. Or maybe it is actually not working on more difficult combinatorial problem (and this is hidden in the paper).' [SEP] 'rebuttal_by-cr	The updated paper will change the emphasis, and clarify that a proper learning progress proxy remains future work.
The main problem is that directly predicting the context is intractable because of combinatorial explosion.' [SEP] 'rebuttal_by-cr	The updated paper will change the emphasis, and clarify that a proper learning progress proxy remains future work.
The experiments on SHREC17 show all three spherical methods under-performing other approaches.' [SEP] 'rebuttal_by-cr	4. We plan to add SGD to the experiments, but this may take a while to complete, especially for some of the experiments.
In the current experiments there is a comparison only with CO algorithm and SGDA.' [SEP] 'rebuttal_by-cr	4. We plan to add SGD to the experiments, but this may take a while to complete, especially for some of the experiments.
2. Is it reasonable to assume some constraints on how much data we can get from the blackbox generator?' [SEP] 'rebuttal_structuring	7. The evaluation on two datasets seems to be rather limited, additional comparisons should be included.
For example, the number of labeled examples in Table 1 is fairly large and inconsistent (4K, 1K, 10K for the 3 organic datasets).' [SEP] 'rebuttal_structuring	7. The evaluation on two datasets seems to be rather limited, additional comparisons should be included.
There should be sufficient details for a reader to implement this model, thought there are some minor details missing regarding the experimental setup, which will be addressed below.' [SEP] 'rebuttal_reject-criticism	We agree with the reviewer that such a comparison would be possible but the experiments, we believe, would not reflect the message of the paper.
The experimental results are not very convincing because many importance baselines are neglected.' [SEP] 'rebuttal_reject-criticism	We agree with the reviewer that such a comparison would be possible but the experiments, we believe, would not reflect the message of the paper.
"I would have been interested in ""false detection"" experiments: comparing estimator in a variety of problems where the mutual information is zero, but for different marginal distribution.' [SEP] 'rebuttal_by-cr"	Further, we will add the details of preliminary experiments using pseudo-count in the supplementary.
It would be nice to see a better case made for spherical convolutions within the experimental section.' [SEP] 'rebuttal_by-cr	Further, we will add the details of preliminary experiments using pseudo-count in the supplementary.
- for the experiment with Imagenet images, it is not very clear how many pictures are used. Is this number 2500?' [SEP] 'rebuttal_answer	A4: We note that we have mentioned our attack formulation and algorithm in Section 2.2;
3. Shouldn't random indexing produce non-uniform numbers of non-zero entries depending on alpha? Why did you have an exact number of non-zero entries, s, in the experiments?' [SEP] 'rebuttal_answer	A4: We note that we have mentioned our attack formulation and algorithm in Section 2.2;
- That learning simple functions and composing them to compute more complex functions would be more data efficient than directly learning the complex functions does not seem very surprising.' [SEP] 'rebuttal_concede-criticism	It appears that our choice of the title may have resulted in the reviewer qualifying our paper as a form of false advertising.
The main appeal is the idea of using T to model syntactic interactions, and the algorithm for learning T. Given that the main attraction of the paper is the potential for more performant word embeddings, I do not believe the work will have wide appeal to ICLR attendees, because no evidence is provided that the features from the learned tensor, say [a, b, T*a*b], are more useful in downstream applications than [a,b] (one experiment in sentiment analysis is tried in the supplementary material with no compelling difference shown).' [SEP] 'rebuttal_concede-criticism	It appears that our choice of the title may have resulted in the reviewer qualifying our paper as a form of false advertising.
Another somewhat jarring fact about the alt-az convolution is that it is not well defined on the south pole.' [SEP] 'rebuttal_done	5. We have added further empirical evidence to show that in the revision.
"4. I do not understand this: ""to fit well the method overfitting rate"" in Section 3.3.' [SEP] 'rebuttal_done"	5. We have added further empirical evidence to show that in the revision.
- Some assumptions are not explicitly stated.' [SEP] 'rebuttal_followup	Could you please elaborate on the comment ’the current design […] simply sums them up’?
