reviews	descs
- the problem assumptions are too simplistic and unrealistic (feature distributions of target and auxiliary data are identical), so it is questionable if the proposed algorithm has practical importance	Missing details on methodology (eg., use of notation, use on tasks, etc)
Second, the experiments are (as I understand it, but I may be wrong) in deterministic domains, which definitely does not constitute a general test of a proposed RL  method.	design choices are questionable
Second, the authors claim they are using/motivated by Choquet integral, but do not have any (appendix) sections to explain how this mathematical tool is really integrated into their models.	Missing details on methodology (eg., use of notation, use on tasks, etc)
C. Your method involves a hyperparameter to be tuned which affects the shape of the schedule.	Correctness of algorithm proposed
Do you agree that for this reason, all the experiments on the synthetic dataset is flawed?	Limited generalizability of claims on other datasets
However, since the authors adopted an affinity-aware distance, two incorrect predictions can still be compared based on their semantic tree distances to the true class.	Correctness of algorithm proposed
The function composition doesn't capture that.	Correctness of algorithm proposed
While this assumption seems plausible,  no analysis has been done to verify it in a systematic way.	Lack of analysis
Notably, I'm actually unsure whether you compute IDF over words or word pieces, and how this is applied.	Unclear description of method
BSD 500 only contains 500 images, and it would be good if more diverse set of images are considered.	Less datasets used
5) In Theorem 5.2, the term 1/sqrt(2) is missing from the final bound.	Correctness of algorithm proposed
7. ``Our experiments show that our networks can remember a large number of images and distinguish them from unseen images’’ -- this does not seem to be true, since the model is trained on both n as well as N -n ``unseen’’ images which it labels as the negative class, thus the negative class is also seen by the memorization model.	design choices are questionable
Since, there is no clear metric to evaluate contrastive explanations -- human studies to judge the class-discriminativeness (or trust) of the proposed approach would have made the paper stronger.	Correctness of algorithm proposed
It isn’t clear why the particular proposals are necessary or to which of the proposed extensions the inflated OOD uncertainties can be attributed:	Correctness of algorithm proposed
A number of these references are missing and no experimental comparison to these methods has been made.	Missing baselines
When it comes to experiments, constant epoch budget is also fairly well understood and the behavior in Figure 1 is not really surprising (as the eventual training performance gets worse with large batches).	When it comes to experiments, constant epoch budget is also fairly well understood and the behavior in Figure 1 is not really surprising (as the eventual training performance gets worse with large batches).
There were some experimental details that were poorly explained but in general the paper was readable.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
This paper presents non-trivial theoretical results that are worth to be published but as I argue below its has a weak relevance to practice and the applicability of the obtained results is unclear.	Improper explanation of results (as in advantages, why are results better, etc)
The main appeal is the idea of using T to model syntactic interactions, and the algorithm for learning T. Given that the main attraction of the paper is the potential for more performant word embeddings, I do not believe the work will have wide appeal to ICLR attendees, because no evidence is provided that the features from the learned tensor, say [a, b, T*a*b], are more useful in downstream applications than [a,b] (one experiment in sentiment analysis is tried in the supplementary material with no compelling difference shown).	More variations of experiments needs to be added
One question which is not addressed is the reason for only one RBM layer.	Correctness of algorithm proposed
Finally, the style (font) of the paper does not adhere to the ICLR style template, and must be changed.	3. The paper is not nicely written or rather easy to follow.
1) I do not really understand the emphasis on optimisation while all the proofs are related to the convergence to the stationary distributions.	Unclear description of method
[-] The results indicate that SAVP offers a trade-off between the properties of GANs and VAEs, but does not go beyond its individual parts.	generalizability of results is questionable
Q1: Has the authors tried more complicated datasets such as CIFAR-10 to evaluate the pGAN method? It would make the paper more convincing to add results on more complex datasets.	Less datasets used
The justification that the method of Khadka & Tumer (2018) cannot be extended to use CEM, since the RL policies do not comply with the covariance matrix is unclear to me.	incorrect claims for related work
However, this can be tricky in practice since it requires having an estimate for Q_r(s,a) as a function of the state (in order to ensure that the state-dependent lower bound can indeed be satisfied).	Correctness of algorithm proposed
I think that the error arising from quantizing v into c is only affected by a subset of rows of \tilde x. For example, if v is the first subvector of w_j, then I think that only 1-st, m+1-th, 2m+1-th, … rows of \tilde x affect to the error.	Correctness of algorithm proposed
While the experiments across several domains convincingly show the presence of an anti-ME bias in neural network training, I recommend that the paper be rejected because it falls short in demonstrating to what extent performance could be improved by correcting or reversing this bias.	Experimental study not strong enough
|_{y>0} x + b |_{y>0}  <— what is the purpose of the subscripts here? Why is this notation never introduced?	Unclear description of method
The reviewer recommends the authors to read some literature review of the topic of GCN and re-organize the references, and use search engines to have a better view on the state of the art of (hyperbolic) geometric theories and graph convolutional networks.	Missing literature review (some literature not included, misses baseline citations, etc)
I don't think Cakewalk is different enough from the cross-entropy method to warrant acceptance in ICLR.	Limited novelty in theoretical contribution
As pointed out in the weakness section, many design choices are not well motivated, and the effects of those designs are not well studied.	Limited insights based on design choices
This latter baseline is a zero-cost baseline as it is not even dependent on the method.	Improper comparison of related work in terms of implementation
Furthermore, it is not obvious to me why these prior samples would be sensible at all, given that all modalities have independent latents by construction.	Correctness of algorithm proposed
The proposed technique is heavily dependent on GBDT (Indeed the algorithm and the learned trees are used at least three times).	Limited novelty in theoretical contribution
While the paper shows experimentally that they aren't as successful as the RFs or IDFs, there's no further discussion on the reasons for poor performance.	More experiments needed with related work
They might be more convincing if there were results on a very large corpus such as 1 billion word corpus.	In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.
Also it seems that the regular batch normalization could be very sensitive to domain shifts, and it would be good if the authors can test other normalization schemes such as layer/group normalization as baselines.	More variations of experiments needs to be added
Thus, the question is 1) how well will this method work with a human acting as the demonstrator? and 2) how can this method work if you are not able to have access to a demonstrator long periods of time (or even at all)?	Correctness of algorithm proposed
- It is unclear how MISC-p is performed. Please elaborate on how MISC-p works for prioritization.	Unclear description of method
Further, it seems that the results in Table 4 might be a bit obscured by the size of the downstream task dataset.	generalizability of results is questionable
Therefore,  the faster convergence demonstrated in the experiments can not be explained by Theorem 3.1 or Theorem 3.2.	design choices are questionable
Summarizing, the paper addresses a relevant problem but they do not state which their main contributions are, and reintroduce some ideas previously published in the literature.	The main reason is that from the narration, I cannot figure out what is the idea or technique of other works and what is the contribution of this paper.
Is the output of the first convolution a single HxW feature planes, or a HxWx(N+1)x(N+1) tensor?	Correctness of algorithm proposed
The MTurk experiment gives a qualitative picture, but it could be improved with comparisons to pairwise distances learned through alternative means using the RGB image itself (given that images would permit such a comparison).	More experiments needed with related work
"-	While this is a new and interesting task, the contribution (as discussed above in “pros” above) is somewhat limited."	Limited contribution in problem definition
In some RL tasks, it is not allowed to access the RAM state.	Correctness of algorithm proposed
Negative points: (1) The authors should provide more justification on equation-3.	Missing details on methodology (eg., use of notation, use on tasks, etc)
3) The simulation is not convincing.	Experimental study not strong enough
However, the theoretical justification and experimental results are not.	Improper Structuring of experimental results on paper (as in on some page, before some section)
-  From the plots of learning curves in appendix, the proposed methods doesn’t seem to show a huge boost of performance comparing to the uniform bandit. Could you show aggregated comparison between the proposed method and uniform bandit similarly to what is done in Figure 4 ?	Incorrect claims about performance in tables and figures
Second, the conclusion of Theorem 2 seems to be flawed.	Correctness of algorithm proposed
* CodeSLAM (best paper at CVPR'18) is referenced but there is no comparison with it, while a comparison on the EuRoC dataset should be possible.	Limited improvement over baselines
This has not been considered in the analysis.	Too strong assumptions in analysis
Is the number right?	Correctness of algorithm proposed
It seems heavily dependent on GBDT.	Missing details on methodology (eg., use of notation, use on tasks, etc)
5. The paper is imprecise and unpolished and the presentation needs improvement.	Lacking clarity overall (needs better presentation)
How were the number of layers and kernels chosen?	Correctness of algorithm proposed
The proposed approach seems reasonable but it is mostly a work of engineering and provides little insights into the problem nor the proposed model.	Incomplete details on perfromance of the method
I wonder why the authors didn’t compare or mention optimizers such as ADAM and ADAGRAD which adapt their parameters on-the-fly as well.	Incomplete details on perfromance of the method
For instance, I would like to see the comparison between DeepCS and SmartHash by Tang et al 2017.	Limited improvement over baselines
What would the pairing-based strategy look like in Figure 6 right? Are there not significance tests that could be used to more carefully quantify the level of support for the two alternative strategies?	Incomplete details on perfromance of the method
While reviewing this paper I went back and read the EN-DE evaluation data for the last few years trying to see how often I could reason that images would help and I came up severely lacking.	Lacking details on datasets
And while there is an argument to be made for the inherent interestingness of exploring these questions, this angle would be more compelling if multiple encoder architectures were explored and compared.	Missing theoretical comparisons
The paper is not very self-contained, and I have to constantly go back to Lee et al. and Xu et al. in order to read through the paper.	Improper writing of realted work section (as in 1 paragraph rather than multiple for related work, explanation of somepapers, etc)
and bounded failure rate, otherwise it is not really a verification method.	Incomplete details on perfromance of the method
In addition, the paper would also need to show that such a model does not generalize to a validation set of images.	Missing details on methodology (eg., use of notation, use on tasks, etc)
However, I think the relative novelty of the paper does not meet ICLR standards, and it’s better suited as a whitepaper attached to an open dataset release.	Lacking clarity overall (needs better presentation)
PS: After discussion, I think the motivation of the method is not clear to understand why the proposed method works.	Correctness of algorithm proposed
- Table 1: Not sure why there is only one model that employs beam search (with beam size = 2) among all the comparisons. It looks strange.	Incomprehensible tables and figures (what is the point of the plot, no decription of figure in main text, etc)
Thus, the advantage of using a LM optimization scheme is not very convincing.	Correctness of algorithm proposed
The problem with this strategy is that the rigid composition only works for actions that can be split into consecutive temporal parts with prefixed duration and anchor points in time, which is clearly challenged by many works later when more complicated video events are studied.	Incomplete details on perfromance of the method
Thus I believe authors must compare their method with these state-of-the-art approaches.	Missing theoretical comparisons
"3.	Are the authors willing to release the code? Overall the model looks complicated and the appendix is not sufficient to reproduce the results in the paper."	Missing details for reproducibility of result
"To me this paper is just not good enough - the method essentially i) use ""a professor and two teaching assistants"" to build a ""rule-based concept extractor"" for problems, then ii) map problems into this ""concept space"" and simply treat them as words. There are several problems with this approach."	Correctness of algorithm proposed
"-	The paper has a specific form of formulation for abductive reasoning, where there are exactly two observations and one proceeds the other; the explanation happens in between. I can see this helps collect and annotate data, but also limit the form of abductive reasoning and how models should be developed."	Correctness of algorithm proposed
"- As said in the my main comments, I am not convinced by the use of the term Axiom. They are not use as building blocks, and are rather used as desirable properties for which the authors prove that only ""path methods"" can satisfy."	Unclear description of method
- It would be also better to show the coefficient of existing methods that have no theoretical justification.	Improper comparison of related work in terms of implementation
- experiments are performed using a synthetic setup on a single data set, so it remains unclear if the algorithm would be successful in a real life scenario	Not enough info on dataset and hyper-parameters
I would strongly recommend including the computational cost of each method in the evaluation section.	Incomplete details on perfromance of the method
The abstract mentioned that the proposed algorithm works as an “implicit regularization leading to better classification accuracy than the original model which completely ignores privacy”. But I don’t see clearly from the experimental results how the accuracy compares to a non-private classifier.	Incorrect explanation of resuts
The reviewer is also interested to see how the the generalization bound introduced in this paper is related to the recent theoretical works [3],[4] on MDL.	Missing baselines
A Bernoulli(p) random variable is discrete, yet it is reparametrizable as [Z>p] with Z following standard logistic distribution, whose density and cdf is smooth.	Correctness of algorithm proposed
Fig 4 is very confusing.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
To me these two reasoning statements are not particularly convincing. One could also say:	Correctness of algorithm proposed
2. table 2: Dynamic -> Adaptive?	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
It should be pointed out that the D in the hinge loss represents a neural network output without range restriction, while the D in the non-saturating loss represents sigmoid output, limiting to take in [0,1].	Incomplete details on perfromance of the method
This triggers my curiosity of which difficulty is it? It would be nice to see this point more elaborated, and to see ablation study experiments.	Experimental study not strong enough
So there is no guarantee this algorithm will minimise the overall regret.	Correctness of algorithm proposed
Also, what will be the performance of a standard image captioning system on the task ?	Incomplete details on perfromance of the method
The method has intuitive appeal and the experimental results are suggestive, but the experiments do not conclusively show that the method achieves something that ordinary machine learning does not.	More variations of experiments needs to be added
Moreover, the equation J_DIM seems to be wrong since it contains g_\omega twice while I think (but maybe I am wrong) that it has also to be defined by g_\psi.	Correctness of algorithm proposed
In particular, the exact difference between the proposed method and the ES baseline is not as clear as it could be.	Unclear connection of method with related work (description of the related work it is based on, why earlier methods fail, etc)
Towards this, how does the computational complexity scale wrt to the connectedness?	Missing details on methodology (eg., use of notation, use on tasks, etc)
-What’s the 3d plot supposed to represent?	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Unfortunately, there is a bit of an identity crisis happening in this paper. There are several choices that do not follow based on the data the paper considers.	claims on the datasets is questionable
* The experiments do not demonstrate that the model learns a meaningful *conditional* distribution for the missing modalities, since the provided figures show just one sample per conditioning image.	design choices are questionable
I can understand the point that training NNLM accelerates the experiments, but the author(s) should consider trying a simply LSTM model after the best settings had been discovered (e.g. Table 1).	Experimental study not strong enough
Other recent works which have demonstrated effective regularization of LSTM LMs have proposed methods that can be used in any LSTM model, but that is not the case here.	Incorrect assumptions as compared to related work
Particularly, the authors mixed their observations up with the results of published works, making it hard to identify the contributions of this paper.	Improper explanation of results (as in advantages, why are results better, etc)
3) I would suggest a different name other than Neural-LP-N, as it is somewhat underselling this work. Also it makes Table 2 not that easy to read.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Overall the paper, while interesting is unacceptably messy.	3. The paper is not nicely written or rather easy to follow.
- The WGAN-GP baseline is very weak, i.e. does not show any reasonable generated images (Fig. 9).	Limited improvement over baselines
In (2) is (N+1)x(N+1) the kernel size (sums are over 0,1,...,N?)??	Correctness of algorithm proposed
What is the definition of f^* and g^* in Eq. (22)? Some explanatory text would be valuable.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- It would be better to compare with a naive approach that uses domain discrepancy between each source and target as (fixed) coefficient since this approach such as Mansour (2009), Ben-David(2007, 2010) and Kuroki et al (2019) which explicitly consider the hypothesis class has theoretical justification in the form of generalization error bound in the target domain.	Improper comparison of related work in terms of implementation
However, in its current state the work lacks sufficiently strong baselines to support the paper’s claims; thus, the merits of this approach cannot yet be properly assessed.	Improper comparison of related work in terms of implementation
How is this a reasonable assumption?	Correctness of algorithm proposed
1. The observation that gradients explode in spite of BN is quite counter-intuitive. Can you give an intuitive explanation of why this occurs?	Correctness of algorithm proposed
Since all of these are approximations, and we cannot know how far we are from the true margin, I don't see why these categories help.	Correctness of algorithm proposed
- In the outputs shown in Table 3, the questions generated by the scratchpad encoder often seem to be too general compared to the gold standard, or incorrect.	Incomplete ablation in terms of tables and figures
-- While the overall claim of the paper in the introduction seems to be to speed up frequency estimation using machine learned advice, results are only given for the Zipfian distribution.	-- While the overall claim of the paper in the introduction seems to be to speed up frequency estimation using machine learned advice, results are only given for the Zipfian distribution.
1. In the experimental study, the authors present the value of their tuning parameters (learning rate, target rate, discount rate…) at the initialisation phase without any justifications. And the experiments are limited to simulated data obtained from MUJOCO physics engine - a very classical benchmark.	Experimental study not strong enough
The main problem I see with these approaches is that they rely on sufficiently large batch sizes which could be (currently) problematic for many real-world applications.	Missing details on methodology (eg., use of notation, use on tasks, etc)
- The caption of Table 1 is a little vague. Please clearly state the meaning of the numbers in the table.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
e. What are the two modalities in Table 2? The author should explain.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
First of all, only a small number of qualitative results are reported and, therefore, it is very difficult to assess the proposed method and draw any conclusion.	generalizability of results is questionable
Hence, I am not very sure whether the novelty of the paper is significant.	Overall not original enough (primary claim, limited evaluation, limited novelty)
This may also help to understand some of the limitations of this analysis.	Lack of analysis
The main theorem of this paper is an extension of existing methods, so the novelty of theoretical analysis is somewhat limited.	Limited novelty in theoretical contribution
Given that you observed that SVHN has higher likelihood on all three model types (PixelCNN, VAE, Glow), why investigate a component specific to just flow-based models (the volume term)?	Missing theoretical comparisons
Specifically, the first contribution listed in the introduction makes it look like this paper introduces the idea of not learning the decoder on the dataset (the one that starts with “The network is not learned and itself incorporates all assumptions on the data.”).	Specifically, the first contribution listed in the introduction makes it look like this paper introduces the idea of not learning the decoder on the dataset (the one that starts with “The network is not learned and itself incorporates all assumptions on the data.”).
More rigorous experiments and analysis is needed to make this a good ICLR paper.	The advantage of this random encoding was to reduce the number of parameters for an embedding layer, but the results showed we gained much PPL from a 25% reduction in embedding size (Table 1).
Reading the Lemmas of Section 4 (Lemma 4.4) you can see that it is the smoothness parameter of function $H$. Thus, is not necessary to have it there (not important for the definition).	Unclear description of method
There is a key concern about the feasibility of the numerical analysis for the first part.	Too strong assumptions in analysis
- The technical contribution of the proposed method is not high, because the architecture space of neural network is similar to the prior works.	Limited novelty in theoretical contribution
Instead only depth is provided.	Unclear description of method
Although some promising	Not enough originality in results (not surprising)
It is unclear how well the proposed method works in general.	Unclear description of method
Therefore, I recommend to accept the paper but after revision because the presentation and explanation of the ideas contain multiple typos and lacking some details (see bellow).	3. The paper is not nicely written or rather easy to follow.
- It seems that the model is not very scalable; while the authors do provide a way of reducing the necessary parameters that the hypernetwork has to predict, minibatching can still be an issue as it is implied that you draw a separate random weight matrix for each datapoint due to the input specific distribution (as shown at Algorithm 1).	Correctness of algorithm proposed
10. Another related paper seems to be Spatial Transformer Networks (Jaderberg et al.).	Limited improvement over baselines
While the authors do report some interesting results, they do a poor job of motivating the proposed extensions.	Missing details for reproducibility of result
Sometimes the same paper is cited 4 times within a few lines.	Incorrect citation styles
"2)	Can the author discuss why the soft sampling procedure in [1] is not enough? I have an intuitive understanding of this, but I think this should be clearly discussed in the manuscript as this is a central aspect of the paper."	Missing details on methodology (eg., use of notation, use on tasks, etc)
It is not clear how MULANN can work in this situation and how its performance vary with the noisy signals conveyed in those false pseudolabeled samples.	Correctness of algorithm proposed
Besides, as the base classifier is different for various baselines, it is hard to compare the methods.	Incorrect baselines used
The gain of using a sufficiently more complicated approach to assess the overall distance between the test and training dataset is not clear, comparing it to the very insightful histograms.	Lack of discussion on datasets (size, motivation for use, etc)
While training on one image does reduce the burden of number of images, the computational burden remains the same. And as mentioned above, it doesn’t seem likely that *any* image would work for this method.	Incomplete details on perfromance of the method
In short, the meta-learning part stays in the regular few-shot learning module (which is implemented as a prototypical network), and has nothing related to domain adaptation.	Correctness of algorithm proposed
The authors discuss their results on k-medoids in the appendices, but it seems like these results aren't quite complete yet.	generalizability of results is questionable
Overall, I think the novelty of the paper is very limited, as all the weight distortion algorithms in the paper can be formulated as the proximal function in proximal gradient descent.	Limited novelty in theoretical contribution
So how importance of each component to the whole framework? I would ask for the ablation study/additional experiments of using each component.	Experimental study not strong enough
- I'm not sure we can conclude much from the results on fetchSlide (and it would make sense not to use the last set of parameters but the best one encountered during training)	correctness of experiments is questionable
2. The human score of 91.4% is based on majority vote, which should be compared with an ensemble of deep learning prediction.	More comparisons needed with variations of the proposed method
I would suggest the authors to either introduce the two problems earlier or to simply say that near-optimal results are achieved, without giving detailed results, because it is very hard to understand them without any introduction of the task being achieved.	generalizability of results is questionable
In the real world, one would not have access to OOD data during training, how is one to pick \lambda in such cases?	Limited generalizability of claims on other datasets
"At the very least we need another ""partial"" sign in front of the ""\delta"" function in the numerator."	Correctness of algorithm proposed
The drawback in this model here is that ultimately networks are embedded, but not really generated during test time.	Incomplete details on perfromance of the method
Did you try to have a single network?	Incomplete details on perfromance of the method
RNN-based approaches are with better “complexity” comparing to your sum baseline and “Deepset” approach.	Incorrect baselines used
2) Does the proposed method store immediate activations or recompute the activations in the backward pass?	Incomplete details on perfromance of the method
In Section 3, the authors compare the game scores of DeepCS proposed in this paper only against to A2C.	Incomplete details on perfromance of the method
It is not clear how the noise is introduced in the graphs.	Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)
However such problems are entirely missing in the results section.	generalizability of results is questionable
It is fine, but it seems weird that the author still mentioned the setup of MNIST+SVHN in the main text.	Missing theoretical comparisons
Results are much lower in less favorable cases, sometimes close to random (see last line of Table 3).	generalizability of results is questionable
i.e., omniglot <-> omniglot-M. I wonder whether the proposed approach can still work in large domain shift such as omniglot to fashion-mnist etc.	Incomplete details on perfromance of the method
Given there is no theoretical justification for the approximation, I believe the paper claims more than what it delivers and should change the presentation, so as not to claim that it is measuring and capturing learning progress to learn faster.	Incomplete details on perfromance of the method
-1 The mathematics in section 3.1 is unclear and potentially flawed (more below).	Correctness of algorithm proposed
When I look at Figure 4abcd, it appears that the Convolution and Dilated Convolutions fit a clean signal faster (it is just not as clean.	Incomplete ablation in terms of tables and figures
4. How sensitive are the results to the number of adaptive kernels in the layers.	generalizability of results is questionable
Then, can the function family the authors used in the paper approximate this function?	Correctness of algorithm proposed
- The importance mixing does not seem to provide a better performance and could therefore be shortened in the paper	Unclear description of method
It will be also interesting to see how does the proposed method perform on large-scale datasets such as DomainNet and Office-Home dataset:	Less datasets used
- Fitting 6 parameters to 42-49 data points raises concerns about overfitting.	Less datasets used
Since this paper select the top-k images in D, if k is large the annotating for S will be very tedious, however if k is relatively small the method seems very sensitive to selected examples, which will make the comparison not totally convincing.	Correctness of algorithm proposed
"-	The experimental results of section 5.2 are somewhat disappointing."	Need more experimental results
The approach is not linked to so called Tandem approach that was/is popular in speech recognition where a generative model (GMM) is trained on top of features extracted by a neural network model.	Correctness of algorithm proposed
Current representation is difficult to read / parse.	3. The paper is not nicely written or rather easy to follow.
But there is no attempt to generalize the findings (e.g. new datasets not from original study, changing other parameters and then evaluating again if these techniques help etc.), not clear	Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)
2. Section 3.3 argues that K-matrices allow to obtain an improvement of inference speed, however, providing the results of convergence speed (e.g. training plots with a number of epochs) will allow a better understanding of the proposed approach and will improve the quality of the paper.	Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)
My major concern is whether the results are significant enough to deserve acceptance.	generalizability of results is questionable
The input and output types of each block in Figure 1. should be clearly stated.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
Finally, the CNN architecture should be compared with modern SAT solvers which have been participating to SAT competitions.	Missing theoretical comparisons
The paper misses the key baseline in Bayesian optimisation using tree structure [1] which can perform the prediction under the tree-structure dependencies.	Missing literature review (some literature not included, misses baseline citations, etc)
Dual-1 and Dual-5 are introduced without explanation.	Missing details on methodology (eg., use of notation, use on tasks, etc)
"-4 Talking about ""agents"" and ""Multi-Agent"" is a somewhat confusing given the slightly different use of the same term in the reinforcement literature. Why not just ""mapping"" or ""network""?"	Correctness of algorithm proposed
3. What are the limitations of the F-pooling? It is good to me that the authors discuss one limitation on the imaginary part of output and I would like to hear more on other potential limitations for this method.	Correctness of algorithm proposed
Recommendations for the authors: Would it be possible to provide an analysis of the cases when TabNN is expected to outperform GBDT by a sizable margin? Or, if not, are there other reasons why using a neural network would make more sense than just simply running GBDT?	Lack of analysis
It is unclear how the model actually operates and uses attention during execution.	Unclear description of method
- novelty is low: the proposed algorithm is a heuristic similar to previously proposed algorithms in the transfer learning and auxiliary learning space	Limited novelty in theoretical contribution
Could we say that the advantage of the Gumbel Softmax technique is two-fold? i) make the loss differentiable with respect to the arch parameters; ii) reduce the variance of the estimate of the loss gradients with respect to the network weights.	Missing details on methodology (eg., use of notation, use on tasks, etc)
* The fact that the model makes use of pitch class and octave labels also raises questions about applicability -- if I understood correctly, transfer can only be done when this information is present.	Correctness of algorithm proposed
Due to several shortcomings of the paper, most important of which is on presentation of the paper, this manuscript requires a significant revision by the authors to reach the necessary standards for publication, moreover it would be helpful to clarify the modeling choices and consequences of these choices more clearly.	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
Citations used for Gradcam are wrong -- Sundarajan et al., 2016 should be changed to Selvaraju et al., 2017.	Incorrect citation
The main drawback would be the rather incrementality of that paper (basically sample before projecting is a bit better than projecting after sampling) and that this directional setting is quite limited...	Missing details on methodology (eg., use of notation, use on tasks, etc)
Theorem 1 does not take account for the above conditions.	Incomplete details on perfromance of the method
I would like to see a convergence proof where the batch size $B_{t}$ is treated as a small constant like other SGD proofs assume.	Incomplete details on perfromance of the method
It is difficult to know what the theory says about the empirical results, given the tweaks discussed in Sec 2.2, and so it is difficult to know what is the benefit of the method versus the tweaks.	Correctness of algorithm proposed
- it's better to show time v.s. testing accuracy as well.	generalizability of results is questionable
As noted by the authors, transfer is most attractive in low-supervision regimes, w.r.t. the target task.	Incomplete details on perfromance of the method
"For example, ""The old system of private arbitration courts is off the table"" from DE-EN 2016 Dev doesn't seem like it should benefit from this architecture."	Incorrect assumptions as compared to related work
The drawbacks  of the work include the following: (1) There is not much technical contribution.	Incomplete details on perfromance of the method
2. Why were more baselines from the related work not included? I understand the experiments are a proof of concept, but it would be nice to get a feeling for what some of the other methods do.	Limited improvement over baselines
4. Most importantly, for table4, authors are comparing to the ResNet18 ARNet instead of ResNet50? which is better than the proposed method.	"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited."
Also, the plus-one smoothing handles unknown words (or word piece?) and I'm not sure why. If we're using the test set to compute IDF, and the sentences we're looking *are* in the test set, then there shouldn't be unknown words and no smoothing is required.	Incomplete details on perfromance of the method
I don't understand what is meant by cognitively plausible but not human-like; perhaps an example of a cognitively implausible mechanism would help clarify this issue.	Unclear description of method
It is in the end plugged into a continual learning algorithm which also performs domain transformation.	Unclear description of method
I'd encourage the authors to extend the intro and position the ideas w.r.t. existing works and extend the evaluation.	Limited improvement over baselines
1. Where is L_da in Figure 2? In Figure 2, what’s the unlabelled data from which testing tasks are drawn? Is it from meta-test data training set?	Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)
Weaknesses: Not all model modifications are studied in all the algorithmic tasks.	Incomplete details on perfromance of the method
1. Since the method is only evaluated on several video sequences, I am not sure how the method will perform on other different scenes.	Incomplete details on perfromance of the method
There are many typos and unclear statements.	3. The paper is not nicely written or rather easy to follow.
