reviews	descs
- Lambda sim and lambda s are used interchangeably. Please make it consistent.	Unclear description of method
* The paper is almost 9 pages long, but the contribution does not appear more substantial than a standard 8-page submission.	Reasons for rejection (not fit for conference, contains several weaknesses, etc.)
- While there seems to be a consistent improvement over TD3, this improvement is in some cases small (e,g. ants).	generalizability of results is questionable
But there is no attempt to generalize the findings (e.g. new datasets not from original study, changing other parameters and then evaluating again if these techniques help etc.), not clear	Missing ablation study (how to generalize findings, what happens if some changes are done to the method, etc)
Having this in mind note that the theoretical results on stochastic variant presented in the paper are wrong.	correctness of results presented is questionable(eg., metrics, complexity, etc)
In particular, the exact difference between the proposed method and the ES baseline is not as clear as it could be.	Unclear connection of method with related work (description of the related work it is based on, why earlier methods fail, etc)
2. Section 3.3 argues that K-matrices allow to obtain an improvement of inference speed, however, providing the results of convergence speed (e.g. training plots with a number of epochs) will allow a better understanding of the proposed approach and will improve the quality of the paper.	Generalizability of results in terms of method parameters (only applies for some number of parameters, only for these type of matrices, etc)
Moreover, authors should conduct experiments on state-of-the-art benchmarks, including natural images.	Experimental study not strong enough
They can indeed be subsumed by generalization bounds based on VC theory.	Correctness of algorithm proposed
Sometimes the same paper is cited 4 times within a few lines.	Incorrect citation styles
While the paper shows experimentally that they aren't as successful as the RFs or IDFs, there's no further discussion on the reasons for poor performance.	More experiments needed with related work
- In the outputs shown in Table 3, the questions generated by the scratchpad encoder often seem to be too general compared to the gold standard, or incorrect.	Incomplete ablation in terms of tables and figures
This has not been considered in the analysis.	Too strong assumptions in analysis
- The claim made in the first line of the abstract (applying RL algorithms to continuous control problems often leads to bang-bang control)	5) Last but not least, convergence analysis of the proposed method should be provided given that asynchrony may lead to divergence in the optimization.
- I believe one should not compare the distance shown between the left and right columns of Figure 3 as they are obtained from two different models.	Missing explanation of comparsion with related work in tables and figures
The theoretical proof depends on the convexity assumption, I would also suggest comparing the proposed attack with CW and other benchmarks on some simple models that satisfy the assumptions.	Lack of comparison with related works
They might be more convincing if there were results on a very large corpus such as 1 billion word corpus.	In terms of evaluation, the authors only presented a few qualitative results on simple datasets, which is not comprehensive and convincing.
This is clearly interested in as far as solving this particular task but does not provide any general insights for the design of (MA)RL algorithms.	Incomplete details on perfromance of the method
There were some experimental details that were poorly explained but in general the paper was readable.	Lack of discussion of experimental setup (conclusion from experiments, poor experimental details, etc)
1. The presentation is somewhat convoluted.	1. The presentation is somewhat convoluted.
This latter baseline is a zero-cost baseline as it is not even dependent on the method.	Improper comparison of related work in terms of implementation
5) Last but not least, convergence analysis of the proposed method should be provided given that asynchrony may lead to divergence in the optimization.	Lack of analysis of proposed method
More experiments based on other types of data sets with clear global structures such as faces or stop signs will	Lack of realistic datasets used in experiments (small siz, synthetic)
2. during sampling, either training or testing, how do authors handle temporal overlap or make it overlap?	Lack of experimental details (no of images, sampling criteria, etc)
If the novelty is in applying to continual learning and new datasets, it is not clear that this is sufficient.	In terms of applicability, it seems that many cases where discrete latent variables would be really interesting are not covered (e.g. sigmoid belief networks); the paper demonstrates experiments with discrete images (binary or 4-bit) not particularly motivated in my opinion.
-- Since CounMin is closely related to Bloom filters the idea of using machine learning to speed it up appears to be noticeably less novel given that for Bloom filters this has already been done by Mitzenmacher’18.	Incremental novelty of method as compared to related work
- Although disc can be easily estimated in the regression task (differently from d_A distance which is a special case of disc), there are no experimental results of the regression task even in the synthetic data.	Need more experimental results
It is not clear how the noise is introduced in the graphs.	Missing details in tables and figures (how some value as calculated in fig, some notation missing in fig, etc)
The gain of using a sufficiently more complicated approach to assess the overall distance between the test and training dataset is not clear, comparing it to the very insightful histograms.	Lack of discussion on datasets (size, motivation for use, etc)
For example, “Fuzzy Choquet Integration of Deep Convolutional Neural Networks for Remote Sensing” by Derek T. Anderson et al.	Suggest missing related work
However, the experimental comparison is not fair, the description of the model (e.g. how Choquet is integrated into the model and help to learn “intermediate meaningful results”) is not clear, some claims are not true.	Concerns regarding correctness of methods (assumption, budget, etc)
The above papers are not cited in this paper.	Missing citations in the paper
Besides, the results on the sentimental analysis are comparable with the compared baselines.	Results are more or less similar to baselines
My main concern about the paper is that, currently, the experiments do not include any strong baseline (the ES currently is not a strong baseline, see comments below).	Lack of experiments
4. Most importantly, for table4, authors are comparing to the ResNet18 ARNet instead of ResNet50? which is better than the proposed method.	"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited."
The reviewer recommends the authors to read some literature review of the topic of GCN and re-organize the references, and use search engines to have a better view on the state of the art of (hyperbolic) geometric theories and graph convolutional networks.	Missing literature review (some literature not included, misses baseline citations, etc)
The paper offers some analysis, suggesting when each of the conditions occurs, upper bounds the smallest singular value of D A (where the example dependent diagonal matrix D incorporates the ReLU activation (shouldn’t this be more clearly introduced and notated?).	Lack of discussion of analysis
