reviews	canonical_rebuttals
However, these were done using 1 dataset and also a simple feed-forward network (rather than LSTM).' [SEP] 'rebuttal_by-cr	We are training DeepCluster now on a significantly less busy image and will report results in the coming days.
- The use of RAM is a fairly serious limitation of your experimental setting in my view. You should include results also for the pixel space, even if negative.' [SEP] 'rebuttal_summary	Note the compression rates are the same as the data in Table 3 in the original manuscript.
I believe that this paper is thus not in its final form and could be largely improved.' [SEP] 'rebuttal_followup	Could the reviewer indicate which sections are found to be imprecise and unpolished, and which parts of the manuscript need a better presentation?
Moreover, authors should conduct experiments on state-of-the-art benchmarks, including natural images.' [SEP] 'rebuttal_structuring	Q2: The authors are expected to make more comprehensive analysis with the state-of-the-art methods, and also analyze why some alternative methods outperforms the proposed methods in table I and table II.
"With this dataset, it's a bit of a stretch to say there was ""only a 1 point drop in BLEU score"". That's a significant drop, and in fact the DynamicConv paper goes to significant lengths to make a smaller 0.8 point improvement.' [SEP] 'rebuttal_done"	We will incorporate these results in the experiments section and post the updated manuscript shortly.
Because of this concern, I believe the results in the paper can only really characterize the learning close to convergence, since the network is already able to provide correct classification.' [SEP] 'rebuttal_structuring	3. Are the authors willing to release the code?
Cons:  unclear transfer learning model, insufficient experiments.' [SEP] 'rebuttal_structuring	Remark 1. Expression and detail
Weaknesses: The main weakness of the paper is that the performance gains are extremely low compared to the next contender; perhaps they are statistically significant (this cannot be determined), but it's unclear why we wouldn't use GBDT.' [SEP] 'rebuttal_reject-criticism	For these two reasons, we are running the requested experiments and we hope to be able to update Table 4 in the following days.
Given there is no theoretical justification for the approximation, I believe the paper claims more than what it delivers and should change the presentation, so as not to claim that it is measuring and capturing learning progress to learn faster.' [SEP] 'rebuttal_concede-criticism	We also appreciate the reviewer taking their time to draw our attention to how to better emphasize the novelty and simplicity of our work.
- It would be nice if more network architectures were analysed (such as VGG and DenseNets).' [SEP] 'rebuttal_done	In the updated draft of our paper, we have updated the rigor of the theory section: please see Section 5 and Appendix C for updated theory.
- Lambda sim and lambda s are used interchangeably. Please make it consistent.' [SEP] 'rebuttal_future	While we have provided some diagnostics statistics, understanding deeply why this method helps will fuel interesting future research.
See http://www.stat.cmu.edu/~ryantibs/convexopt-S15/scribes/08-prox-grad-scribed.pdf for a reference.' [SEP] 'rebuttal_answer	See ensuing discussion in p.18 following equation 36.
(3) A large body of graph neural network literature is omitted.' [SEP] 'rebuttal_done	5. Thank you for pointing out this related work. We refer to it in the updated version of the submission.
I believe it will not be great, but I think for completeness, you should add such a baseline.' [SEP] 'rebuttal_summary	As the reviewer can observe the scale of the experimental evaluation is significantly different.
I highly encourage the authors to finetune the ImageNet pre-trained BagNet on PASCAL VOC and compare to the previous patch-based deep networks.' [SEP] 'rebuttal_done	"We provided a detailed explanation about the experimental setting and further experimental results of the state-of-the-art performance in our response to ""The Common concerns about experimental setting and results""."
The figures are almost useless, because the captions contain very little information.' [SEP] 'rebuttal_answer	[A] What we can do is to separate the top from the bottom figure into separate figures and provide more information in the captions.
Some details are missing, which is hardly reproduced by the other researchers.' [SEP] 'rebuttal_done	In addition to implementation details, the appendix has a rather detailed table of the architecture parameters.
This paper looks very hastily put together, especially pages 7 and 8.' [SEP] 'rebuttal_structuring	"R: ""The paper can benefit from a proofreading."""
First, many details are missing, especially in the experiments, which makes the proposed method suspicious and non-convincing.' [SEP] 'rebuttal_answer	Thanks to the comment from the reviewer, we were able to rearrange the content and set training iteration by cross-validation.)
- The arguments for why the experimental evidence actually supports the existance of an approximate number system (ANS) could be made more clear.' [SEP] 'rebuttal_reject-request	We believe that we have already demonstrated a significant improvement over the prior state-of-the-art, and additional experiments could be prohibitively expensive.
Although the idea seems to be interesting, the paper seems to be a bit incremental and is a simple application of existing GAN techniques.' [SEP] 'rebuttal_answer	After taking a close look, we make the following observations:
However, as the authors acknowledge the overall simplicity of the tasks being evaluated with mostly marginal improvements makes the overall evaluation fall short.' [SEP] 'rebuttal_by-cr	3)For the experiment: we will spend some time to train GANs with more iteration and modify it.
3. Since there are many tasks and each task has a large-scale data, I'm afraid that the running time will explode. How to deal with this issue?' [SEP] 'rebuttal_structuring	We believe that this is the Reviewer 1's core question so would like to justify our results more in detail in this response and try to convince the Reviewer.
The experimental results are not very convincing because many importance baselines are neglected.' [SEP] 'rebuttal_done	We clarified this in Section 2.1 of the revised draft.
2. Although the experiments are detailed and interesting they support poor theoretical developments and use a very classical benchmark' [SEP] 'rebuttal_structuring	"3. ""Given the existing body of literature, I found the technical novelty of this paper rather weak"""
My overall concern is that the experiment result doesn’t really fully support the claim in the two aspects: 1) the SASNet takes the enriched dataset as input to the neural net but it also uses the complex (validation set) to train the optimal parameters, so strictly it doesn’t really fit in the “transfer” learning scenario.' [SEP] 'rebuttal_answer	As mentioned in the shared response, we believe that the speed-quality tradeoff of K-matrices could be further improved with more extensively tuned and optimized implementations.
Without an empirical example in a realistic setting, it is hard to judge whether the benefits of introducing an ME bias for better classification of new inputs belonging to new classes can outweigh the negatives via a potential increase in misclassification of those belonging to old classes.' [SEP] 'rebuttal_done	We have also provided more details about LOAN dataset and how we attack in Appendix A.1.
They start from Equation (4) which is incorrectly denoted as the log-marginal distribution while it is the same conditional distribution introduced in Equation (3) with the extra summation for all the available data points.' [SEP] 'rebuttal_done	We added a new Section 4 in the revised version of the paper discussing these differences.
- White-box attack experiments don’t really prove the strength of the method, even with imagenet experiments, as almost all attacks get 100% success rate making it hard to compare.' [SEP] 'rebuttal_answer	Moreover, we investigate the mixing distribution learned in Appendix G.
"For example, ""The old system of private arbitration courts is off the table"" from DE-EN 2016 Dev doesn't seem like it should benefit from this architecture.' [SEP] 'rebuttal_done"	We have solved this issue thanks to the comments of the anonymous reviewers by now displaying the most and least active atoms.
This also becomes apparent in the experiments section, where rotational data augmentation is found to be necessary.' [SEP] 'rebuttal_done	In light of the reviews, in the revised version, we have expanded the appendix to give more details on the experimental protocol.
However, the un-standard design of the LSTM models makes it unclear whether the comparisons are solid enough.' [SEP] 'rebuttal_answer	We have cited this work in our related works section, and mentioned its impact.
Specifically, there is some confusion about estimation of w~, which seems based on frequency estimation from past SGD iterations (Eq 3).' [SEP] 'rebuttal_reject-criticism	As far as explaining the method of combination, and the associated mathematical properties, we have tried to do this in greater detail in section 3 (Approach).
2. I think that the claim that the use of neural networks with discrete inputs can approximately solve NP-hard optimization problems is an exciting one, which likely necessitates more experiments (or theoretical results), but as it stands I don't think it is a fundamentally different conclusion from the fact that this method provides a great scalable solution for the ordinal embedding problem.' [SEP] 'rebuttal_social	2. Thank you for your suggestion.
- Judging from Table 1, the proposed method does not seem to provide a large contribution.' [SEP] 'rebuttal_structuring	“Judging from Table 1, the proposed method does not seem to provide a large contribution.
Specifically, the policy update in Dreamer resembles that of SVG (Heess et al., 2015), which also backpropagates re-parameterized gradients through a value function and a transition model.' [SEP] 'rebuttal_done	We have highlighted the technical challenges we overcome in order to obtain these results in the updated version (please see Remark 3.3).
- why do you need a conditional GAN discriminator, if you already model similarity by L1?' [SEP] 'rebuttal_structuring	The proposed method seems plausible, but some details are impressionistic and it is not clear why and whether the modeling choices do what the paper says.
2. Is it reasonable to assume some constraints on how much data we can get from the blackbox generator?' [SEP] 'rebuttal_social	We thank R1 and R2 for endorsing the merit of our proposed black-box calibration.
Also pervasive is the use of the asterisk to denote multiplication, again as if it was code and not math.' [SEP] 'rebuttal_refute-question	>>> In Figure 4 of appendix A, we describe the detailed structure of the graph construction module.
It is not even clear that the final compression of the baselines would not be better.' [SEP] 'rebuttal_concede-criticism	However, we agree that this was not clear in this first revision: atoms which were displayed looked qualitatively similar.
Here, the straightforward regression term means directly regress the output mask to the target densepose mask. Will the proposed mask term perform better?' [SEP] 'rebuttal_answer	While we put this experiment into the appendix for now to not change the main paper too much compared to the submitted version, if the reviewers agree we would also be very happy to include this experiment in the main paper.
This was a fun, albeit incremental paper.' [SEP] 'rebuttal_structuring	[Q] The only issue with this paper is its degree of novelty, which is narrow.
The originality is relative low though, since it is mainly an application of  deep InfoMax to language modeling, not inventing a new algorithm and applying to language modeling.' [SEP] 'rebuttal_answer	We provide clarification for the two main questions of the Reviewer below.
I have doubts on applying the proposed method to higher dimensional inputs.' [SEP] 'rebuttal_answer	The answers are very likely to depend on the application, data sets, etc., which we plan to study in the future.
"""Table 4 shows that our first results are promising, even though they are not as good as the state of the art."" The state of the art on LibriSpeech is not Mohamed at al. 2019. See e.g. Irie et al. Interspeech 2019 for better result' [SEP] 'rebuttal_structuring"	-Q: Actionable consequences from paper:
2. I think that the claim that the use of neural networks with discrete inputs can approximately solve NP-hard optimization problems is an exciting one, which likely necessitates more experiments (or theoretical results), but as it stands I don't think it is a fundamentally different conclusion from the fact that this method provides a great scalable solution for the ordinal embedding problem.' [SEP] 'rebuttal_done	We have tried to revise the draft with appropriate renaming of the method to avoid potential misunderstandings.
That's a very simple kind of question; more generally, I'd like to see more analysis of the new dataset.' [SEP] 'rebuttal_answer	The reviewer raises an important point about the tested single images.
2. The paper never clearly demonstrates the problem they are trying to solve (nor well differentiates it from the compressed sensing problem  or sample selection problem)' [SEP] 'rebuttal_answer	We think generating such justifications is a great next step and hope that our work will foster such interesting future research.
3) In its current form, the experimental results are extremely cherry-picked, with a very small number of tasks evaluated, and for each task a single selected baseline used.' [SEP] 'rebuttal_concede-criticism	We agree that any improvements compared to RGCN are marginal.
"However, as the ""selection network"" uses exactly the same input as ""classification network"", it is hard to imagine how it can learn additional information.' [SEP] 'rebuttal_structuring"	1. Comments about the contributions and novelty
A quick glance at Table 1 suggests that the bounds obtained through Theorem 3 are exponential in t and are mostly vacuous.' [SEP] 'rebuttal_structuring	Q4. The top row of Figure 2b is confusing:
The paper motivates the problem that we need to pick out an exploration sequence that optimizes learning progress, but then approximates it as simply measuring the return.' [SEP] 'rebuttal_reject-criticism	We respectfully disagree with the reviewer's main comment that the experiments are not large scale.
Hence the theoretical sample complexities contributed are not comparable to those of MIME.' [SEP] 'rebuttal_by-cr	For the sake of completeness, we will compare our methods with the suggested baselines in the camera ready/future versions of the paper.
In my opinion, to support the above claim, shouldn’t the authors provide a similar table as Table 1, directly comparing the certified radii of the natural images and adversarial images?' [SEP] 'rebuttal_structuring	R4: An example is presented in Figure 3 but is not expanded upon in the main text.
Since this work takes the approach of allowing stale weight updates, the author should also compare with existing distributed training approaches that use asynchronous updates, with or without model parallelism, for example, Dean et al., 2012.' [SEP] 'rebuttal_by-cr	We plan to make our code public to aid research in the area.
methods. There are some scalable property verification methods that can give a' [SEP] 'rebuttal_future	That said, we agree that using different architectures would strengthen our point and make the paper more convincing.
- The writing looks very rushed, and should be improved.' [SEP] 'rebuttal_done	We have significantly improved the writing, re-done the bibliography and citing, and organized the most important theorems and definitions into a clearer presentation.
- The model G_theta does not appear in the training objective function (4), how is this module trained precisely?' [SEP] 'rebuttal_structuring	"3) - ""The experiment section lacks more detailed analysis which can intuitively explain how well the proposed method performs on the benchmarks."
b) Down weighting the KL term by lambda for the VI techniques unfairly biases the comparison.' [SEP] 'rebuttal_answer	All our theory can be easily generalized to this setting using almost identical argument, which can also address your concerns on this issue.
The current tasks and problem sizes are not very convincing, and the accuracy results are not very compelling.' [SEP] 'rebuttal_social	A: Thanks for the review comment.
That said, I would like to see more analysis on the behavior of the proposed method under various interesting cases not tested yet.' [SEP] 'rebuttal_answer	Given the limited space provided, it would be difficult to fit a convergence analysis in our paper.
Optimizing compression rates should be done on the training set with a separate development set.' [SEP] 'rebuttal_future	We agree that it would be interesting to perform an in-depth analysis on the embeddings learned by BERT and we will investigate this in future work.
Why? If we are learning the distribution, would not it make sense to sample all architectures only after training the supernet at our best?' [SEP] 'rebuttal_by-cr	We will make all code and models trained in this paper available for reproducibility.
- the name 'Bundle Adjustment' is actually not adapted to the proposed method.' [SEP] 'rebuttal_future	=> We agree that significant amounts of stochasticity would break the method we used in the paper, and it is an important issue to be addressed by future work.
-- Since CounMin is closely related to Bloom filters the idea of using machine learning to speed it up appears to be noticeably less novel given that for Bloom filters this has already been done by Mitzenmacher’18.' [SEP] 'rebuttal_done	It was not our intention and we will edit sections 1 and 2 to ensure that this is resolved and that the above points are reflected in the text.
Many of the results have been already presented in' [SEP] 'rebuttal_reject-criticism	Although previous authors have also discussed some of these results, there are differences between our conclusions, as we discussed in our responses to the other two reviewers.
However the theoretical contribution is poor. And the experiment uses a very classical benchmark providing simulated data.' [SEP] 'rebuttal_reject-criticism	We have added a sentence in the introduction emphasizing this crucial point.
The experiments on synthetic data could be improved: for reproducibility, many works on GANs used the same synthetic data as VEEGAN.' [SEP] 'rebuttal_by-cr	4. We will include more related works to our paper.
-- Since CounMin is closely related to Bloom filters the idea of using machine learning to speed it up appears to be noticeably less novel given that for Bloom filters this has already been done by Mitzenmacher’18.' [SEP] 'rebuttal_structuring	"In response to your comment that ""similar ideas have been undertaken (e.g., Mescheder et al 2018), but in different contexts"" we would like to take this opportunity to clarify the novelty of our approach."
have no idea how confident the sampling based result is.' [SEP] 'rebuttal_future	For these reasons (and more provided below), we thus think it more fair (and necessary) to make such experiments the subject of a future paper.
The imagenet experiment lacks details.' [SEP] 'rebuttal_by-cr	5. We will add more details about the experiments to the appendix.
